date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
548681631-01-18,-7.62916,1,0,6.659,0
548681631-02-17,-4.76546,1,0,7.135,0
548681631-04-28,-3.92408,1,0,7.393,0
548681631-05-28,-4.20388,1,0,7.429,0
548681631-08-06,-1.24247,1,0,14.5,0
548681631-09-05,-0.213719,1,0,13.683,0
548681631-11-14,-0.611513,1,0,12.44,0
548681631-12-14,-0.206586,1,0,10.792,0
548681632-02-22,5.20582,1,0,8.767,0
548681632-03-23,4.61338,1,0,6.399,0
548681632-06-01,6.5225,1,0,0.936,0
548681632-07-01,6.23104,1,0,0.202,0
548681632-09-09,5.72081,1,0,0,0
548681632-10-09,4.67644,1,0,0,0
548681632-12-18,4.89829,1,0,0,0
548681633-01-17,3.08672,1,0,0,0
548681633-03-28,1.94967,1,0,0,0
548681633-04-27,1.1971,1,0,0,0
548681633-07-06,-1.59353,1,0,0,0
548681633-08-05,-1.27997,1,0,0,0
548681633-10-14,2.19695,1,0,0,0
548681633-11-13,2.33707,1,0,0,0
548681634-01-22,2.05624,1,0,0,0
548681634-02-21,2.03802,1,0,0,0
548681634-05-02,1.78956,1,0,0,0
